X,Y,OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT
500085.8719,6960272.731,89,100135926,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1911-N005,D0343,WEST END RIVERSIDE LANDS PARK,WEST END,MAINS POWER,2,153.0008692,-27.48113565
496098.0542,6968412.895,90,100136132,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1741-N003,D0157,JURAYELBA PLACE PARK,KEPERRA,MAINS POWER,1,152.9605286,-27.40764047
490073.4119,6951244.373,91,100252286,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0047-N010,D2040,NEWCOMB PARK,RIVERHILLS,MAINS POWER,1,152.8994437,-27.56260657
486469.683,6949249.218,92,100267476,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0228-N011,D2833,MOGGILL DISTRICT SPORT PARK,MOGGILL,MAINS POWER,2,152.8629156,-27.58058728
507760.3341,6972149.674,93,100273101,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1401-N008,D0444,BANYO MEMORIAL PARK,BANYO,MAINS POWER,2,153.0784784,-27.37388801
503870.6661,6969114.823,94,100275146,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1987-N032,D0245,SHAW ESTATE PARK,WAVELL HEIGHTS,MAINS POWER,1,153.0391528,-27.40130351
504836.8203,6964760.49,95,100092418,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1977-N003,D0171,CAMERON ROCKS RESERVE,HAMILTON,MAINS POWER,2,153.048943,-27.44061156
503286.0632,6952718.369,96,100281987,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1638-N011,D0553,SALISBURY RECREATION RESERVE,SALISBURY,MAINS POWER,1,153.0332838,-27.54933192
506173.3894,6978769.832,97,200474131,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1869-N013,D0284,SANDGATE SECOND LAGOON RESERVE,SANDGATE,WOOD FIRED,1,153.0623965,-27.31412835
502700.3111,6945360.419,98,200524761,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1559-N005,D0678,COL BENNET PARK,ALGESTER,WOOD FIRED,1,153.0273673,-27.61575963
508333.1215,6951556.688,99,100293895,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1190-N004,D3175,TRYON STREET PARK,UPPER MOUNT GRAVATT,MAINS POWER,2,153.0844124,-27.55979778
503663.8818,6958182.388,100,100298022,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0259-N003,D3533,CARL STREET PARK,WOOLLOONGABBA,MAINS POWER,2,153.0370941,-27.50000224
502736.1821,6967666.864,101,200478587,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1949-N002,D0202,GORDON PARK PLAYGROUND PARK,GORDON PARK,WOOD FIRED,1,153.0276804,-27.41437854
485961.4234,6947536.089,102,100302382,BBQ - GAS SINGLE (SOLAR IGNITION),BARBEQUE,B-RE-1880-N002,D0271,MOGGILL FERRY RESERVE,MOGGILL,BOTTLED GAS,1,152.8577461,-27.5960479
499203.0873,6959172.723,103,100310766,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1378-N003,D0480,PERRIN PARK,TOOWONG,MAINS POWER,2,152.9919325,-27.49106625
509026.2871,6946770.969,104,100312982,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1553-N022,D0685,WALLY TATE PARK,KURABY,MAINS POWER,2,153.0914698,-27.60299801
508913.0391,6963692.877,105,200479105,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0572-N003,D1763,COLMSLIE BEACH RESERVE,MURARRIE,MAINS POWER,1,153.0901974,-27.45022939
502792.5712,6970558.872,106,200479134,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2003-N003,D0229,JOHN PATTERSON PARK,CHERMSIDE,MAINS POWER,1,153.0282443,-27.38826914
